division_index time_step divided_cell_index divided_cell_IsEpidermal division_axisTheta divided_cell_x divided_cell_y cell_division_count av_in_frequency_modifier av_epi_frequency_modifier 
72 4300000 125 1 1.49769 -0.058794 17.8827 3 9.38137e+14 2.60341e+17
73 4400000 33 0 1.0652 4.28401 14.1716 4 9.03618e+14 2.52099e+17
74 4600000 104 0 1.38239 3.43076 16.9393 5 8.80037e+14 2.35583e+17
75 4800000 123 0 1.43712 2.46411 15.2982 5 8.73192e+14 2.29415e+17
76 4900000 127 0 0.291515 -1.25475 16.2488 5 8.65069e+14 2.2467e+17
77 5100000 112 1 1.54538 1.83984 19.3255 3 8.98248e+14 2.19992e+17
78 5200000 126 0 1.57033 0.150405 16.1594 5 9.69058e+14 2.2553e+17
79 5300000 84 0 2.09253 1.14524 17.8367 5 9.28436e+14 2.18748e+17
80 5500000 118 1 0.808442 6.72761 16.6675 5 9.39822e+14 2.18159e+17
81 5500000 129 0 1.07355 -5.13976 16.4732 5 9.29607e+14 2.18159e+17
82 5600000 108 0 3.0617 -6.53656 14.8967 5 9.21929e+14 2.05203e+17
83 5600000 120 0 1.96045 -3.62385 17.5457 5 9.12121e+14 2.05203e+17
84 5700000 132 1 -1.55763 -0.51714 19.4462 4 9.22779e+14 2.20406e+17
85 5900000 115 0 1.99436 1.92004 14.0579 4 9.01878e+14 2.17566e+17
86 5900000 119 0 1.3806 -2.96671 15.5132 5 8.92483e+14 2.17566e+17
87 6100000 58 1 -1.37473 -4.08707 19.6353 3 9.1444e+14 2.21065e+17
88 6100000 126 0 0.366563 -0.195726 17.2993 6 9.05012e+14 2.21065e+17
89 6100000 133 0 0.167825 5.8167 15.263 5 8.95778e+14 2.21065e+17
90 6200000 113 0 2.97667 7.26419 14.448 3 9.32923e+14 2.15936e+17
91 6200000 125 1 -1.46981 -2.45573 20.0185 4 9.32923e+14 2.11862e+17
92 6200000 127 0 1.02598 -1.73285 17.9116 6 9.23594e+14 2.11862e+17
93 6300000 139 0 0.737577 1.32783 18.264 6 1.01526e+15 2.08551e+17
94 6900000 135 0 2.706 4.59328 15.6978 6 1.03044e+15 2.05784e+17
95 7000000 120 0 0.254389 -3.65623 18.2427 6 1.03962e+15 2.08633e+17
96 7000000 143 0 2.35785 -5.24208 18.1039 6 1.02962e+15 2.08633e+17
97 7100000 123 0 2.23024 3.23461 16.4706 6 1.08699e+15 2.19353e+17
